name,url,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
新辣道鱼火锅(望京店) 分店,/shop/3234601,火锅,朝阳区望京街9号望京商业中心B座2楼 59035304,鱼火锅 望京,梭边鱼 徐妈豆腐 鸭血,80,8.5,8.2,8.2,342,116.49023,39.99543
三元梅园(西单新一代店) 分店,/shop/513725,小吃快餐,西城区西单北大街130号新一代商城1楼 66018096,老北京小吃 西单,双皮奶 原味奶酪 杏仁豆腐,13,7.4,5.8,6.3,342,116.38174,39.917255
蝎王府羊蝎子(鼎新大厦店) 分店,/shop/2548921,火锅,东城区广渠门内大街27号鼎新大厦2楼 87103397,羊蝎子 其他火锅 广渠门,羊蝎子 金针菇 宽粉,70,7.9,7.7,7.2,341,116.44307,39.899975
万方豆捞(新世界女子百货店) 分店,/shop/4072765,火锅 自助餐,东城区崇文门西东打磨厂街7号新世界女子百货3楼 67084127,其他火锅 自助餐 崇文门,虾滑等 牛肉滑 马蹄水,51,6.7,8,7.4,341,116.419426,39.905678
毛家饭店(望京华彩店) 分店,/shop/3438427,北京菜,朝阳区广顺北大街16号望京华彩商业中心4楼D409号 59814118,湘菜 婚宴酒店 望京,毛氏红烧肉 双色鱼头 上汤娃娃菜,69,7.5,8.2,7.8,341,116.47503,40.016914
老四烧饼,/shop/2208640,小吃快餐,丰台区西三环丽源路56号院 ,其他小吃 六里桥/丽泽桥,烧饼夹肉 羊杂汤 烧饼,15,9.1,6.6,7.7,341,116.32214,39.88019
京味斋(小西天店) 分店,/shop/4520865,小吃快餐 北京菜,海淀区文慧园北路8号庆亚大厦B座 62275381,家常菜 炸酱面 北太平庄,烤鸭 炸酱面 焦熘丸子,53,8.2,8.4,8,341,116.36824,39.961113
火齐潮汕砂锅粥(双井店) 分店,/shop/6138711,小吃快餐,朝阳区广渠路甲18号 15210940688,粥店 双井,干贝虾蟹粥 面皮捞牛肉 流沙包,72,8.9,8.1,8.4,341,116.48148,39.898598
Go冰Go火骨汤麻辣烫(五道口店) 分店,/shop/4228286,小吃快餐,海淀区成府路23号五道口工人俱乐部电影院1楼 82377895,麻辣烫 五道口,骨汤麻辣烫 骨汤 小料,19,8.6,7.7,8.3,341,116.346,39.999172
8000M户外运动主题餐厅,/shop/4748357,火锅,朝阳区望京广顺南大街悠乐汇A1座305商铺 57409008,其他火锅 创意菜 望京,大漠风沙骨 蜀地香辣猪蹄锅 古树盘根,88,8.5,9,8.9,341,116.48372,39.99459
张记酱牛肉(虎坊桥店) 分店,/shop/2062576,小吃快餐,西城区南新华街131号 63159331,熟食 食品茶酒 虎坊桥,酱牛肉 烧饼夹肉 羊杂汤,32,8.6,6.9,7.3,340,116.3909,39.897987
