name,url,id,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
天意坊烤鸭店(万柳华联店) 分店,/shop/8810931,8810931,北京菜,海淀区巴沟路2号华联万柳购物中心501 82568082,烤鸭 苏州桥,烤鸭 宁波酱鸭 宫保虾球,79,7.6,8.3,7.5,136,116.30174,39.979195
速喜主题餐厅·花式铁板烧 (暂停营业),/shop/5637840,5637840,日本,大兴区文化园西路林肯公园8号院5号楼112室 67902599,日式烧烤/铁板烧 日式自助 亦庄,鹅肝 寿司 三文鱼,170,7.7,8.2,8.1,136,116.49532,39.810688
尚品一厨(亦庄店) 分店,/shop/5655427,5655427,川菜,大兴区亦庄经济开发区文化园西路8号院2号楼116室 15711167177,香锅 亦庄,香锅虾 鱼豆腐 鲶鱼锅,45,6.8,7.1,7.5,136,116.49639,39.81179
秦记香辣蟹(松榆里店) 分店,/shop/564587,564587,川菜,朝阳区松榆里17号楼 67311622,香锅 劲松/潘家园,香辣蟹 香辣虾 香辣鱼,114,8.2,6.5,6.8,136,116.47842,39.87734
品苑邵师傅法式铁板烧(蓝色港湾... 分店,/shop/2584030,2584030,小吃快餐,朝阳区朝阳公园路6号蓝色港湾国际商区SMM92号 59056727,烧烤 亮马桥/三元桥,菲力牛排套餐 鳕鱼 牛排,64,7.4,6.9,7.7,136,116.48019,39.953854
苗颖竹荪鹅(通州店) 分店,/shop/584637,584637,火锅,通州区玉桥西里71号楼 60521157,其他火锅 梨园,竹荪 面片 鹅翅,54,8,7,7.6,136,116.678665,39.892418
美味珍御膳(国贸店) 分店,/shop/507954,507954,北京菜,朝阳区建国门外大街1号国贸大厦西楼3楼L301号 65358215,官府菜 婚宴酒店 国贸 建外大街,佛跳墙 豌豆黄 沙律片皮鸭,452,8.2,8.4,8.4,136,116.46482,39.91807
眉州东坡小吃(北苑店) 分店,/shop/4509269,4509269,小吃快餐,朝阳区北苑家园易仕达广场世代百货5楼 59683336,其他小吃 北苑家园,担担面 酸辣粉 小笼牛肉,33,8.5,8.2,8.4,136,116.428474,40.049095
李先生加州牛肉面(魏公村店) 分店,/shop/2444722,2444722,小吃快餐,海淀区中关村南大街11号百花商务苑 88578783,粉面馆 魏公村,牛肉面 香菇鸡腿面 红油肚丝,23,7.9,8,8,136,116.329506,39.96211
九头鹰酒家(农大店) 分店,/shop/5454670,5454670,湖北菜,海淀区农大南路西口 62813499,湖北菜 婚宴酒店 颐和园,酸汤鱼 手撕包菜 珍珠丸子,47,8.3,8,8.6,136,116.30011,40.033558
宏状元粥店(大山子店) 分店,/shop/3681949,3681949,小吃快餐,朝阳区酒仙桥路2号综合楼 64381316,粥店 酒仙桥,皮蛋瘦肉粥 扁豆焖面 南瓜粥,27,7.8,8,8,136,116.49691,39.99101
很久以前烤串坊(北七家店) 分店,/shop/5742598,5742598,小吃快餐,昌平区北七家镇七北路名佳花园三区对面 80787283,烧烤 天通苑,鸡翅 羊肉串 蒜蓉扇贝,79,8.6,8.9,8.7,136,116.42495,40.11132
